filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,Has_OMS,Metal 1,Percent 1,Metal 2,Percent 2,Hydrophobic / Hydrophilic
ISIMAZ_clean,3.00707,2.46824,2.89927,1.43344,0,0,0,0,0.376,0.262306,0,No,Zn,0.072844524,Zn,0.072844524,0
ITAHEQ_clean,4.67457,4.1332,4.67457,1.77433,357.212,201.323,0,0,0.4132,0.232877,0,No,Eu,0.156559329,Eu,0.156559329,0
IXODUV_clean,6.94577,6.48704,6.94195,1.01181,1784.75,1763.93,0,0,0.629,0.621659,0,No,V,0.110236025,V,0.110236025,0
IXOFAD_clean,7.25204,6.74283,7.23817,1.01031,1741.08,1723.31,0,0,0.638,0.631491,0,No,V,0.110236025,V,0.110236025,0
IXOFEH_clean,7.08623,6.6722,7.07786,1.02717,1639.04,1595.68,0,0,0.6198,0.603404,0,No,V,0.110236025,V,0.110236025,0
IXOFIL_clean,7.14051,6.67398,7.10365,1.01557,1692.36,1666.42,0,0,0.624,0.614435,0,No,V,0.110236025,V,0.110236025,0
IXOFOR_clean,6.58573,6.10481,6.58573,1.02216,1741.26,1703.51,0,0,0.611,0.597752,0,No,V,0.110236025,V,0.110236025,0
IXOFUX_clean,7.08508,6.6128,7.06755,1.00152,1792.17,1789.44,0,0,0.6318,0.63084,0,No,V,0.110236025,V,0.110236025,0
IXOFUX01_clean,6.87071,6.41176,6.84188,1.00146,1800.87,1798.25,0,0,0.6308,0.629881,0,No,V,0.110236025,V,0.110236025,0
IYUREA_clean,3.19151,2.60973,3.19102,1.72919,0,0,0,0,0.3874,0.224035,0,Yes,Cu,0.141060549,Ni,0.130288661,0
IYUSAX_clean,3.24891,2.61272,3.23518,1.70754,0,0,0,0,0.3864,0.226291,0,Yes,Co,0.130751361,Cu,0.140985503,0
ja039022msi20031007_110612_clean,4.94587,4.56356,4.94587,1.87531,744.519,397.011,0,0,0.4438,0.236654,0,No,Zn,0.177197512,Zn,0.177197512,0
ja074366osi20070816_031204_clean,15.02646,7.9821,15.02646,0.595037,2203.3,3702.8,0,0,0.8104,1.36193,0,No,Zn,0.169847519,Zn,0.169847519,0
ja109659k_si_002_clean,11.09415,6.65734,11.09415,1.14966,1274.48,1108.58,493.769,429.493,0.6432,0.559472,0,Yes,Cu,0.150950298,Cu,0.150950298,0
ja204757x_si_002_clean,11.43366,3.15631,11.43366,0.918283,0,0,1406.49,1531.65,0.6336,0.689983,0,No,Zn,0.143644321,Zn,0.143644321,0
ja204757x_si_003_clean,11.34993,3.11942,11.34993,0.934021,0,0,1402.25,1501.3,0.6288,0.673219,0,No,Zn,0.143644321,Zn,0.143644321,0
ja206917z_si_001_clean,5.82674,4.72231,5.76849,1.30832,751.163,574.141,0.193696,0.148049,0.5654,0.432156,0,No,Mn,0.079963589,Cr,0.151363044,0
ja305196u_si_002_clean,2.92298,2.44439,2.92298,1.76481,0,0,0,0,0.44,0.249318,0,No,Zn,0.163098523,Zn,0.163098523,0
ja305196u_si_003_clean,2.89924,2.42534,2.89924,1.77399,0,0,0,0,0.437,0.246337,0,No,Zn,0.163098523,Zn,0.163098523,0
ja903726m_si_002_clean,12.24865,4.72993,12.24865,0.820334,2060.46,2511.73,0,0,0.6832,0.832831,0,No,Ti,0.122765802,Ti,0.122765802,0
ja4012707_si_003_clean,5.77734,4.61223,5.7686,1.06481,2227.7,2092.11,0,0,0.671,0.630159,0,No,Zn,0.288210608,Zn,0.288210608,0
ja4012707_si_004_clean,6.17779,4.90836,6.17779,0.978371,2446.9,2500.99,0,0,0.6772,0.692171,0,No,Zn,0.288210608,Zn,0.288210608,0
ja5063423_si_002_clean,10.81396,5.19047,10.74347,0.995074,2374.31,2386.06,0,0,0.7264,0.729996,0,Yes,Zn,0.215159568,Zn,0.215159568,0
